adv_id,created_at,value_in_paise,avg_of_previous_3
,"2024-10-23 13:10:14.666056+00:00",10000,3000.0000
0000-0000,"2024-10-17 02:13:03.216271+00:00",3000,500.0000
0000-0000,"2024-10-23 11:15:12.814158+00:00",10000,3000.0000
00000000-0000-0000-0000-000000000000,"2024-10-18 10:05:57.489646+00:00",10000,3000.0000
00000000-0000-0000-0000-000000000000,"2024-10-19 13:30:39.198207+00:00",3000,833.3333
00000000-0000-0000-0000-000000000000,"2024-10-22 17:04:32.663800+00:00",10000,2166.6667
001a78bf-7083-4c98-9bb3-2a7e89449cdd,"2024-10-20 03:54:43.147594+00:00",5000,500.0000
003c7595-6540-4499-a8d0-b253aa482033,"2024-10-17 16:58:53.460288+00:00",1000,500.0000
00460669-2b27-411b-87f3-80e5b406c885,"2024-10-23 10:54:14.288898+00:00",1000,500.0000
006bd9e7-e3f7-4ae3-b441-34418177fd6f,"2024-10-17 00:30:27.743093+00:00",10000,1000.0000
007497ba-92ee-4c63-bc37-318507a82c0d,"2024-10-19 14:01:20.046019+00:00",3000,500.0000
008afdde-e92a-4e21-82bb-1322e65ec00c,"2024-10-21 06:44:27.455421+00:00",3000,500.0000
008fa522-e801-48db-a1ee-975aa6eeb419,"2024-10-17 16:58:53.460288+00:00",1000,500.0000
0090b88a-6a75-4b39-9194-c9393a429a91,"2024-10-19 13:55:40.686105+00:00",1000,500.0000
00a0af87-a1a8-4725-b3ad-d91b94f0be46,"2024-10-22 17:09:05.760338+00:00",10000,4333.3333
00a3625c-e880-4c03-917a-799bb527aacd,"2024-10-18 16:37:05.091597+00:00",5413,2706.0000
00a3625c-e880-4c03-917a-799bb527aacd,"2024-10-19 15:30:40.641995+00:00",5430,2715.0000
00a3625c-e880-4c03-917a-799bb527aacd,"2024-10-19 17:02:40.243774+00:00",8145,3620.0000
00a3625c-e880-4c03-917a-799bb527aacd,"2024-10-20 00:01:42.348855+00:00",13576,5430.0000
00a3625c-e880-4c03-917a-799bb527aacd,"2024-10-20 10:32:17.167682+00:00",13578,5431.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 03:18:39.581004+00:00",10000,946.6667
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 03:19:13.281288+00:00",10000,3946.6667
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 06:57:35.048482+00:00",5000,893.3333
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 06:58:16.557501+00:00",5000,2280.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 07:31:12.871165+00:00",10000,5000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 10:35:37.993369+00:00",10000,1000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-16 11:11:22.749188+00:00",10000,4000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-17 05:20:21.656585+00:00",10000,5000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-17 06:18:31.583205+00:00",10000,5000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-18 04:05:04.657319+00:00",10000,2500.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-18 04:34:44.417656+00:00",10000,5000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-19 02:52:10.031271+00:00",5000,2500.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-19 03:31:27.171542+00:00",10000,3000.0000
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-20 04:48:12.556606+00:00",10000,4333.3333
00aab9f9-0447-4b82-b3a4-d5ecfbf6ff18,"2024-10-21 04:25:30.899597+00:00",10000,4333.3333
